日付,曜日,工場売上,工場仕入,工場内粗利,工場内粗利利益率,ヤード売上,ヤード仕入,ヤード粗利,ヤード利益率,手数料他,工場内売上計,工場内仕入計,工場内粗利計,利益率
2023/7/12,水,5196800,2080800,3116000,0.599599754,241200,374725,-133525,-0.553586235,38020,5438000,2493545,2982475,0.548450717
2023/7/13,木,4775870,2140240,2635630,0.551863849,366860,336700,30160,0.082211198,31830,5142730,2508770,2665790,0.518360871
2023/7/14,金,5375580,2337545,3038035,0.56515483,201405,170410,30995,0.153893895,3410,5576985,2511365,3069030,0.550302717
2023/7/15,土,3511200,2058335,1452865,0.413780189,669950,56940,613010,0.915008583,0,4181150,2115275,2065875,0.494092534
2023/7/16,日,1256690,161860,1094830,0.87120133,0,89960,-89960,0,0,1256690,251820,1004870,0.799616453
2023/7/17,月,1398740,501650,897090,0.641355792,467580,105830,361750,0.7736644,200,1866320,607680,1258840,0.674503836
2023/7/18,火,3585060,1750700,1834360,0.511667866,0,7585,-7585,0,188550,3585060,1946835,1826775,0.509552141
2023/7/19,水,5512195,1062775,4449420,0.807195682,271920,0,271920,1,0,5784115,1062775,4721340,0.816259704
2023/7/20,木,4630660,2087625,2543035,0.549173336,0,22970,-22970,0,0,4630660,2110595,2520065,0.54421292
2023/7/21,金,6059900,1635030,4424870,0.730188617,194445,2825,191620,0.98547147,100,6254345,1637955,4616490,0.738125255
2023/7/22,土,5525060,1497320,4027740,0.728994798,0,0,0,0,900,5525060,1498220,4027740,0.728994798
2023/7/23,日,1038240,0,1038240,1,0,0,0,0,150,1038240,150,1038240,1
2023/7/24,月,5081280,1875435,3205845,0.63091288,0,3280,-3280,0,100,5081280,1878815,3202565,0.630267374
2023/7/25,火,5998415,2088350,3910065,0.651849697,20655,110400,-89745,-4.344952796,0,6019070,2198750,3820320,0.634702703
2023/7/26,水,5062630,1756480,3306150,0.653049897,667080,223975,443105,0.664245668,0,5729710,1980455,3749255,0.654353362
2023/7/27,木,5221230,2771465,2449765,0.469193083,0,516200,-516200,0,1120,5221230,3288785,1933565,0.37032749
2023/7/28,金,4170900,3039610,1131290,0.271234026,316245,46650,269595,0.852487786,0,4487145,3086260,1400885,0.312199628
2023/7/29,土,5996700,1757680,4239020,0.706892124,0,128800,-128800,0,0,5996700,1886480,4110220,0.685413644
2023/7/30,日,969220,0,969220,1,0,0,0,0,0,969220,0,969220,1
2023/7/31,月,5878730,1028380,4850350,0.825067659,0,360,-360,0,0,5878730,1028740,4849990,0.825006421
2023/8/1,火,5419080,2842494,2576586,0.475465577,0,7925,-7925,0,0,5419080,2850419,2568661,0.474003152
2023/8/2,水,4349870,1326560,3023310,0.695034564,390630,178600,212030,0.542789852,0,4740500,1505160,3235340,0.682489189
2023/8/3,木,5841440,2575675,3265765,0.559068483,342910,10205,332705,0.970240005,0,6184350,2585880,3598470,0.581867132
2023/8/4,金,3751320,2226420,1524900,0.406496913,332085,103830,228255,0.687339085,0,4083405,2330250,1753155,0.429336546
2023/8/5,土,4781800,1895585,2886215,0.603583379,0,172220,-172220,0,0,4781800,2067805,2713995,0.567567652
2023/8/6,日,836750,0,836750,1,0,0,0,0,100,836750,100,836750,1
2023/8/7,月,4575810,1601310,2974500,0.650048844,353100,324085,29015,0.082172189,31320,4928910,1956715,3003515,0.60936698
2023/8/8,火,5931180,2278125,3653055,0.615906953,123750,127030,-3280,-0.026505051,0,6054930,2405155,3649775,0.602777406
2023/8/9,水,5354040,1582375,3771665,0.704452152,175740,11720,164020,0.933310572,0,5529780,1594095,3935685,0.711725421
2023/8/10,木,4748570,2049505,2699065,0.568395327,0,165955,-165955,0,0,4748570,2215460,2533110,0.533446911
2023/8/11,金,2995410,956685,2038725,0.680616343,0,0,0,0,0,2995410,956685,2038725,0.680616343
